Site	Latitude	Longitude	Location	Country	Province	Material	Bibliography
Aliki	40.603056	24.741667	On the southern coast ofThasos	Greece	Macedonia	White marble (marmor thasium or Thasos-1) with large reflective crystals, widely exported throughout antiquity	Gnoli 1988: 262-263;  Mielsch 1985:61; Dworakowska 1975; Dworakowska 1983; Herz 1988; Kozelj et al. 1981; Kozelj et al. 1982; Kozelj et al. 1985; Herrmann 1990
Almadén de laPlata	37.873333	-6.079722	55 km north-west ofSeville	Spain	Baetica	Various types of marble - white, blue- grey and pink - used regionally throughout the Roman period	Canto 1977-1978; Rodríguez et al.2012 ó
Almándoz	43.091061	1.605453	31 km north of Pamplona	Spain	Tarraconensis	Grey-blue marble, used locally in theRoman period	Martínez-Torres et al. 2012
Alsóörs	46.992982	17.972974	On the northern shore ofLake Balaton	Hungary	PannoniaSuperior	Red sandstone, used locally in theRoman Imperial period	Palágyi and Raucsik 2009
Altenhof	49.765248	6.619683	Just west of Trier	Germany	Belgica	Granite, used locally in the RomanImperial period	Bedon 1984: 50
Altintas	39.057500	30.110000	In the Upper Tembris valley, 50 km north-west of Iscehisar, Phrygia	Turkey	Asia	White-grey marble, used locally in theRoman Imperial period	Buckler et al. 1928: 22-23; Lazzarini et al. 1985: 50; Waelkens, de Paepe and Moens 1986
Ambrault	46.798333	1.941111	South-west of Bourges	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 61; Coulon and Tardy1997
Ammaedara	35.496154	8.367557	Between Ammaedara and Theveste	Algeria	Numidia	Limestone; used locally in the RomanImperial period	Gsell 1911: 29.132
Ancaster	52.982885	-0.536092	Southern Lincolnshire	Britain	Britannia	Limestone; used locally in the Roman Imperial period and exported regionally	Blagg 1990
Angertal	47.283668	13.017347	In the upper Enns valley	Austria	Noricum	White marble; used locally in theRoman Imperial period	Djurić 1997
Annonay	45.240702	4.663266	South of Lyon, north- west of Valence	France	Narbonensis	Granite; used locally in the RomanImperial period	Bedon 1984: 33
Antic Camí deSant Salvador	42.104302	1.028558	Near Isona	Spain	Tarraconensis	Limestone, used locally in the Roman period	Gutiérrez 2009: 82–4
Antioch	36.207500	36.011111	Modern Antakya, Hatay province	Turkey	Syria	Limestone; used locally in the RomanImperial period and earlier	Dworakowska 1983: 13
Antoger	45.719470	5.915088	Aix-les-Bains, south ofSeyssel	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 59
Antully	46.902927	4.410612	South of Autun	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 35, 119
Aphrodisias (CityQuarries)	37.725556	28.741667	2 km north-east ofAphrodisias, Karia	Turkey	Asia	White marble, used locally throughout the Roman period	Monna and Pensabene 1977: 89-101; Gnoli 1988: 264; Dwarakowska 1983; Rockwell 1996; Ponti 1996; Lazzarini et al. 2002b
Apiranthos	37.083889	25.533333	Central Naxos	Greece	Achaia	White marble, used locally and exported regionally, sometimes inter- regionally, throughout antiquity	Attanasio 2003: 184
Apollonas	37.181866	25.550643	North-eastern point ofNaxos	Greece	Achaia	White marble, used locally and exported regionally, sometimes inter- regionally, throughout antiquity	Dwarakowska 1971
Apollonia	32.901667	21.968889	Just north of Cyrene	Libya	Creta etCyrene	Limestone; used locally in the RomanImperial period	Personal observation
Arab el-Atiat	27.318888	31.051388	20 km north-west ofAssiut	Egypt	Aegyptus	Yellow-grey limestone; used locally in the Ptolemaic and Roman period	Klemm and Klemm 2008: 109-110
Arcueil	48.807035	2.335816	South of Paris	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 54, 73
Ardiège	43.069722	0.642500	South of St-Gaudens	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 64, 149
Arguénos	42.970833	0.723889	South of Aspet	France	Aquitania	Marble; used locally in the RomanImperial period and possibly regionally	Bedon 1984: 65-66
Argut-Dessus	42.889444	0.719167	South-east of Saint-Béat	France	Aquitania	Marble; used locally in the RomanImperial period and possibly regionally	Bedon 1984: pl. 10
Arou Djaoud	36.557522	2.053343	Near Cherchel	Algeria	MauretaniaCaesariensis	Granite; used locally in the RomanImperial period	Leveau 1984: 303
Arroyo dePedroches	37.907325	-4.757565	East of Corduba	Spain	Baetica	Limestone, used locally in the Roman period	Gutiérrez Deza 2012
Arroyo delPuerco	37.675728	-5.656936	Various sites to the south of Munigua	Spain	Baetica	Limestone, used locally in the Roman period	Schattner and Ovejero 2008
Artés	41.798593	1.954452	North of Manresa, Barcelona province	Spain	Tarraconensis	Sandstone; used locally in the RomanImperial period	Cisneros Cunchillos 1988; Gutiérrez2009: 253
Asagi Cuma	39.250833	27.091667	Near Kozak, 30 km fromPergamon in Mysia	Turkey	Asia	Granite (granito misio); used locally from Hellenistic period	Lazzarini and Sangati 2004: 76; Lazzarini 1992: 66
Asin	37.279444	27.582500	Ancient Iasos in Karia	Turkey	Asia	Red marble (rosso brecciato or iassense brecciato) with shades of grey and black, blue-grey veins and large white crystalline inclusions; used locally in the Roman Imperial period andexported inter-regionally in small quantities	Gnoli 1988: 244-245; Mielsch 1985:46; Monna and Pensabene 1977: 109-113
Asnières-lès- Dijon	47.385304	5.044668	Near Dijon	France	GermaniaSuperior	Limestone; used locally in the RomanImperial period	Bedon 1984: 54, 90
Assos	39.491111	26.335278	Modern Behramkale in the southern Troad	Turkey	Asia	Maroon-red andesite (lapis sarcophagus) used locally and exported inter-regionally as sarcophagi in the Roman period	Koch 1993: 172-173; Serdaroğlu 1990
Aswan	24.101388	32.887500	Ancient Syene, 3 km north-west of Elephantine	Egypt	Aegyptus	Two varieties of granite, the most prevalent being pink-red with grey- white flecks (granito rosso di siene or sienite), the other black (granito nero di Siene), and sandstone; exported regionally from Pharaonic period and inter-regionally in Roman period	Mielsch 1985: 67; Gnoli 1988: 145-148; Lazzarini 1987b, 156; J. Röder1965; Lucas and Harris 1962: 58; Klemm and Klemm 2008: 206-212,233-267
Atarfe	37.226106	-3.716423	10 km north-west ofGranada	Spain	Baetica	Limestone; used locally in the RomanImperial period	Cisneros Cunchillos 1989–90
Aubert	42.966944	1.100833	St Girons, in the French Pyrenees, in the valley of Lez, 4 km from Saint Girons, in an area called the Trou de l’Oubli	France	Aquitania	Black and white marble (bianco e nero antico or marmo di Aquitania); expored regionally in the Roman Imperialperiod and to Rome later	Mielsch 1985: 57; Gnoli 1988: 196-199; Braemer 1971: 170; Braemer1984: 57-72; Bedon 1984: 66
Auerbach	49.705771	8.630317	18 km south ofDarmstadt	Germany	GermaniaSuperior	Marble, exported regionally in theRoman period	J. Röder 1992
Aurignac	43.216944	0.881389	North-west of Boussens	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 64
Aurisina	45.750556	13.675000	Just north of Trieste	Italy	Italia X	Marble (marmo di Aurisina); used locally in the Roman Imperial period, notably at nearby Trieste (Tergeste) and Aquileia	Braemer 2004; Bertacchi 1989; Lopreato 1989: 25-28; Maselli Scotti1989: 29-33
Autun	46.949899	4.299252	North-west of Lyon, in central Saône-et-Loire	France	Lugdunensis	Schist; used locally in the RomanImperial period	Bedon 1984: 54
Aya Klıkiri	38.084130	27.519870	23 km north-east ofEphesos	Turkey	Asia	White marble, used locally and perhaps regionally in the Roman period	Yavuz, Bruno and Attanasio 2011
Aymavilles	45.702621	7.246867	Near Aosta	Italy	Alpes Graiae et Poeninae / Italia XI	Grey-blue veined marble, similar to bardiglio, used locally in the Roman period	Betori, Gomez Serito and Pensabene2009
Azmak Tepe	38.529122	26.585344	On the Karaburum peninsula	Turkey	Asia	Pink-red and white marble (breccia corallina), perhaps exported regionally in the Roman period	Bruno et al. 2012
Baalbek	34.006667	36.204167	Ancient Heliopolis	Lebanon	Syria	Limestone; used locally in the RomanImperial period	Dworakowska 1983: 13; Ruprechtsberger 1999
Baba Dağ	37.715063	28.922675	17 km east ofAphrodisias	Turkey	Asia	Grey and white marble, used locally in the Roman period	Long 2012
Babadag	44.892523	28.711461	Near Babadag Lake	Romania	MoesiaInferior	Limestone; used locally in the RomanImperial period	Rădulescu 1972
Bad DeutschAltenburg	48.132052	16.91305	Just east of Carnuntum, Austria	Austria	PannoniaSuperior	Limestone	Pivko 2012
Bafa Gölü	37.501667	27.527500	Near ancient Heracleia- on-Latmos	Turkey	Asia	Fine- to coarse-grained, white marble often with blue or grey bands; used locally from Archaic period	Peschlow-Bindoket  1981; Attanasio2003: 180
Bahariya Oasis	28.334166	28.867222	Just south of El-Bawiti, Western Desert	Egypt	Aegyptus	Fine-grained sandstone; used locally from at least the Ptolemaic period	Klemm and Klemm 2008: 327-328
Bahig	30.951111	29.584167	At the western end ofLake Mareotis	Egypt	Aegyptus	Limestone; used locally in the Roman Imperial period and possibly also in the Ptolemaic period	J. Röder 1967; Klemm and Klemm2008: 36-39
Balatonalmádi	47.025876	18.014431	On the north side ofLake Balaton	Hungary	PannoniaSuperior	Red sandstone; used locally in theRoman Imperial period	Palágyi and Raucsik 2009
Balatonrendes	46.830062	17.584235	On the north side ofLake Balaton	Hungary	PannoniaSuperior	Red sandstone; used locally in theRoman Imperial period	Palágyi and Raucsik 2009
Balboura	36.986014	29.620061	In Lykia, north-east of modern Fethiye	Turkey	Lycia etPamphylia	Grey-white limestone; used locally in the Roman Imperial period	Money 1990
Balıklıova	38.425684	26.581653	On the Karaburum peninsula	Turkey	Asia	Orange-red and white marble (breccia corallina)	Bruno et al. 2012
Barbazan	43.032778	0.625556	East of St-Bertrand	France	Aquitania	Marble; used locally in the RomanImperial period	Bedon 1984: 64, 66
Barcombe Down	54.991111	-2.360833	Near Vindolanda, Northumberland	Britain	Britannia	Limestone; used locally in the Roman Imperial period, notably for construction along Hadrian's Wall	Pearson 2006; Collingwood andWright 1965
Bard-Le-Régulier	47.143579	4.313318	North of Autun	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 84
Barnack	52.631944	-0.407222	Southern Lincolnshire	Britain	Britannia	Limestone; used locally in the Roman Imperial period and exported regionally	Blagg 1990
Barousse	42.967222	0.565556	South of St-Bertrand	France	Aquitania	Marble; used locally in the RomanImperial period	Costedoat 1995b
Barranc de LaLlet	40.795998	0.535382	Just south of Tortosa	Spain	Tarraconensis	Dark golden yellow limestone (broccatello) with shades of pink, red and white-grey; exported as far as Rome in the Roman Imperial period	Mielsch 1985: 42-43; Álvarez Pérez1992; Àlvarez et al. 2009a: 74–9; Gutiérrez 2009: 231–45
Barutel	43.863157	4.275758	7 km north-west ofNîmes	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 31, 84
Barxeta	39.021345	-0.412450	50 km south of Valencia	Spain	Tarraconensis	Pinkish-yellow Buixcarró limestone, exported regionally in the Roman period	Àlvarez et al. 2009a: 26–31
Basècles	50.526462	3.648263	Between Lille andCharleroi	Belgium	Belgica	Black limestone; used locally and exported regionally in the Roman period	Groessens 1991
Bath	51.361111	-2.356389	Probably at CombeDown	Britain	Britannia	Limestone; used locally in the RomanImperial period	Pearson 2006; Stanier 2000: 13
Batroun	34.248787	35.663454	At Batroun (ancientBotrys)	Lebanon	Syria	Sandstone; used locally in the RomanImperial period	Badawi 2002
Bavay	50.291408	3.794352	South-West of Charleroi	Belgium	Belgica	Black limestone; exported regionally in the Roman Imperial period, especially to the Rhineland	Braemer 1982: 82; Groessens 1991
Beaucaire	43.811111	4.636111	Near Tarascon, north ofArles	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 32, 58
Bédarieux	43.615000	3.157778	North of Béziers	France	Narbonensis	Sandstone; used locally in the RomanImperial period	Bedon 1984: 33
Beirut	33.894225	35.488171	In and around Beirut	Lebanon	Syria	Gypsum, limestone and sandstone, used locally in the Roman period	Badawi 2002
Belbèze	43.133056	1.025556	South-east of Boussens	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 63, 77
Belevi	38.010000	27.454722	Just north of Ephesos	Turkey	Asia	Several varieties of white to grey marble, used locally throughout antiquity and perhaps exported regionally or inter-regionally in the Roman period	Alzinger 1966-1977: 61; Monna andPensabene 1977: 127-144; Attanasio2003: 174; Prochaska and Grillo2009; Yavuz, Bruno and Attanasio2011
Bellerberg	50.352821	7.231721	Just north of Mayen	Germany	GermaniaSuperior	Basalt; used locally in the RomanImperial period	Bedon 1984: pl. 1
Beni Hassan	27.918056	30.868333	25 km south of Minia	Egypt	Aegyptus	Grey-white limestone; used locallyfrom the Pharaonic to Byzantine period	Klemm and Klemm 2008: 77-81
Beni Suef	29.073889	31.100833	On the Nile near theFayum	Egypt	Aegyptus	Alabaster; used locally in the Pharaonic period and later; probably exported at least regionally in Roman Imperial period	Klemm and Klemm 1993
Berici Mountains	45.423843	11.471431	South of Vicenza	Italy	Italia X	Limestone; used locally in the RomanImperial period	Roffia, Bugini and Folli 2009
Berkovica	43.316029	23.215786	North of Sofia	Bulgaria	Thracia	Limestone; used locally in the RomanImperial period	Braemer 2004
Beth She'an	32.499727	35.500111	Ancient Scythopolis	Israel	Judaea	Basalt; used locally in the RomanImperial period, notably at Scythopolis	Tsafrir and Foerster 1997: 89
Beyler	38.230935	26.926279	8 km east of Teos	Turkey	Asia	Coloured breccia similar to breccia di sciro, used locally and probably exported in the Roman period	Turk et al. 1988; Bruno et al. 2012
Biha Assid	36.971803	9.611600	In the Northern Tell	Tunisia	AfricaProconsularis	One variety of marble and one of limestone; used locally in the Roman period	Peyras 1991: 404
Biograd	43.939379	15.445759	South of Zadar	Croatia	Dalmatia	Limestone; used locally in the RomanImperial period	Škegro 2006: 161-162
Bir Um el- Fawarkhir / Wadi el-Sid	26.002500	33.600278	90 km east of Quft, Eastern Desert	Egypt	Aegyptus	Fine- to medium-grained grey granite (granito del Wadi Fawarkhir), with white, black, light green and pink inclusion; exported in Roman Imperial period but never in large quantities	Mielsch 1985: 68; Gnoli 1988: 148; Lazzarini 1987b, 159; Harrell, Brown and Lazzarini 1999; Klemm and Klemm 2008: 295-297
Bir-el-Ater	34.642194	8.211676	South-east of Bir-el-Ater and west of Capsa	Algeria	Numidia / Africa Proconsularis	Limestone; used locally in the RomanImperial period	Gsell 1911: 40.154
Birstal	47.479173	7.607119	Just west of Augst	Switzerland	GermaniaSuperior	Grey-white limestone; used locally in the Roman Imperial period	Staehelin 1948: 425
Blagoevgrad	42.023634	23.094311	Just south of Sofia	Bulgaria	Thracia	Marble; used locally in the RomanImperial period	Braemer 2004
Bois de Minier	47.465232	3.256687	Just north of Entrains- sur-Nohain	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 74
Bois des Lens	43.914444	4.157778	Just west of Nîmes	France	Narbonensis	Fine white limestone; used locally in the Roman Imperial period and exported regionally	Bessac 1986a; Bessac 1996
Bois Dufour	47.578159	3.807482	South of Arcy-sur-Cure	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984
Bolonia	36.090929	-5.781520	Cadiz province	Spain	Baetica	Limestone; used locally in the RomanImperial period	Cisneros Cunchillos 1988
Borba	38.803611	-7.457500	Near Estremoz	Portugal	Lusitania	White marble (branco portugues); used locally in the Roman Imperial period and probably exported regionally	Dworakowska 1983: 14-15; Amores, Beltrán and González 2008: 219; Lamberto and Sá Caetano 2008
Borj el Mzaouak	35.391645	11.032127	Near Salakta	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 144
Botticino	45.536389	10.302500	Just west of Lake Garda	Italy	Italia X	White marble; used locally in the Roman Imperial period and probably regionally	Braemer 2004; David and De Michele1999
Bou Hanifia	35.316291	0.049694	20 km south-west ofMascara	Algeria	MauretaniaCaesariensis	Red and white alabaster (alabastro a pecorella), used locally and exported	Herrmann, Van den Hoek and Tykot2012
Bouère	47.864002	-0.481464	10 km north-west ofSablé-sur-Sarthe	France	Lugdunensis	Pink and grey limestone, used locally in the Roman period	Blanc 1999
Boulouris	43.431111	6.803333	Close to Saint Raphael- Frejus, ancient Forum Julii	France	Narbonensis	Light blue-grey porphyry (porfido bigio or granito a morviglione) with white, pink, grey and blue flecks; used locally from Archaic period, exported further sporadically and then only to Rome	Mielsch 1985: 66; Gnoli 1988: 140-141; Bedon 1984
Bourdeau	45.681187	5.854477	North of Chambéry	France	Aquitania	Marble; used locally in the RomanImperial period	Mazeran 1999
Bourg	45.039903	-0.560168	North of Bordeaux	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 35, 89
Bourges	47.083056	2.396667	In Cher, central France	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 60, 71
Bouros	38.015000	24.420833	East of Karystos onEuboea	Greece	Achaia	Schist; used locally in the RomanImperial period and probably	Wallace et al. 2006: 41-43
Bracoule	43.971944	4.521944	Next to the Pont du Gard	France	Narbonensis	Limestone; used locally in the Roman Imperial period, notably for the construction of the Pont du Gard	Bedon 1984: 32
Brauron	37.926111	23.993889	Eastern Attica	Greece	Achaia	Marble; used locally from Archaic period	Higgins and Higgins 1996
Brean Down	51.323889	-3.008056	North-western Somerset	Britain	Britannia	Limestone; used locally in the RomanImperial period	Blagg 1990; Pearson 2006; Stanier2000: 13
Bu Njem	30.578056	15.413056	Ancient Gholaia	Libya	AfricaProconsularis	Limestone; used locally in the Roman Imperial period, principally for the construction of the associated fort	Chiesa 1949: 28
Bucova	45.486679	22.679230	South of the village of Bucova and south-west of Sarmizegetusa	Romania	Dacia	White-grey marble with darker grey streaks; used locally and exported regionally between the Trajanic and Severan periods	Muller et al. 1999
Bülbüldağ	37.937417	27.334341	Next to the habour ofEphesos	Turkey	Asia	Grey marble, used locally throughout the Roman period	Vetters 1990
Bulcy	47.245967	3.026982	North of Nevers	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 73, 89
Burg el-Arab(Mareotis)	30.933611	29.968889	At the western end of lake Mareotis, west of Alexandria	Egypt	Aegyptus	Limestone; used locally in the Roman Imperial period and possibly also in the Ptolemaic period	Dworakowska 1983: 10; J. Röder1967; Klemm and Klemm 2008: 36-39
Burgbrohl	50.455706	7.272764	In the Brohl valley	Germany	GermaniaSuperior	Tuff; used locally in the RomanImperial period	Bedon 1984: 39
Bussoleno	45.141354	7.147460	Just east of Susa	Italy	Alpes Cottiae / Italia XI	White or blue-grey marble (Foresto marble), used locally in the Roman period	Betori, Gomez Serito and Pensabene2009
Byblos	34.122005	35.643598	In and around Byblos	Lebanon	Syria	Gypsum, limestone and sandstone, used locally in the Roman period	Badawi 2002
Cabane de laHosse	42.910086	0.289652	South of Campan	France	Aquitania	Varieties of white, green and red nodular limestone (cipollino mandolato or griotte), exported regionally in the Roman period	Antonelli et al. 2002
Cabezo Gordo	37.800843	-0.900193	Near Cartagena, Murcia	Spain	Tarraconensis	Marble; used locally in the Roman period, from at least the 1st century BC	Cisneros Cunchillos 1988: 69; Ramallo Asensio and Arana Castillo1987; Àlvarez et al. 2009a: 32–7;Arana et al. 2012
Cabra	37.471055	-4.429963	55 km south of Corduba	Spain	Baetica	Red limestone, used locally and exported regionally	Cisneros 1989–90; Mayer and Rodà1998: 234
Cachan	48.794753	2.335083	South of Paris	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 54, 73
Caen	49.185797	-0.359666	Quarries located nearCaen, Normandy	France	Lugdunensis	Grey-white limestone; used locally in the Roman Imperial period and exported regionally, possibly even to Britain	Blagg 1990
Caerwent	51.610833	-2.767778	South-east Wales	Britain	Britannia	Sandstone (Sudbrook sandstone); used locally in the Roman Imperial period	Pearson 2006
Çakırsaz	39.096389	30.196389	In the Upper Tembris valley, 18 km east of Altıntaş, Phrygia	Turkey	Asia	Two varieties of marble, one white- grey and a variety of pavonazzetto, the former used locally in Roman period, the latter exported inter-regionally	Lazzarini et al. 1985: 50
Çakmakli	38.808415	27.554482	24 km north-east ofManisa	Turkey	Asia	Pink and white breccia (broccatellone), probably exported in the Roman period	Bruno et al. 2012
Çamarası	37.652550	28.711850	9 km south-west ofAphrodisias	Turkey	Asia	White and grey brecciated marble, used locally in the Roman period	Long 2012
Çamova Tepe	37.689549	28.950464	22 km east ofAphrodisias	Turkey	Asia	Purple-grey and white breccia, used locally in the Roman period	Long 2012
Campan	43.016944	0.178333	Close to Campan, on the plain of Paillol, Pyrenees	France	Aquitania	Two varieties of marble, one violet- pink (griottes de Campan or griottes mauves de Campan) with purple and grey veins, one green with lighter flecks (cipollino mandolato verde); widely exported in Roman Imperial period	Mielsch 1985: 58; Gnoli 1988: 183; Braemer 1984: 57-72; Bedon 1984: 66
Campomarino	40.297396	17.556933	20 km south-east ofTaranto	Italy	Italia II	Limestone; used locally in the RomanImperial period	Calia et al. 2002
Candoglia	45.975727	8.423785	Just west of Mergozzo, north-west of Lago Maggiore	Italy	Italia XI	Marble (marmo di Candoglia); used locally and probably exported regionally in the Roman period	Braemer 1992
Canteduc	43.839444	4.345833	In Nîmes	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 30-31
Cap Couronne	43.338333	5.048056	40 km west of Marseille	France	Narbonensis	Limestone; used locally in the Roman Imperial period and exported regionally, notably to Marseille	Dworakowska 1983: 16; Bedon 1984:pl. 5
Cap de Garde	36.963056	7.781667	12 km from Annaba (Hippo Regius) on the promontory of Cap de Garde	Algeria	Numidia	White marble (marmo di Ippona) with distinct blue and grey streaks, used locally and regionally in the Roman period	Mielsch 1985: 60; Gnoli 1988: 261; Pensabene 1976
Cape Kolona	38.846446	24.353210	On Skiropoula island, south of Skyros	Greece	Achaia	Purple, yellow and white breccia (marmor scyrium, settebassi or breccia di sciro), exported inter-regionally in the Roman period	Bruno 2002c
Cape Latomio	38.803900	24.490752	On Valaxa island, south of Skyros	Greece	Achaia	Purple, yellow and white breccia (marmor scyrium, settebassi or breccia di sciro), exported inter-regionally in the Roman period	Bruno 2002c
Cape Marmaro	38.761624	24.569607	Southern Skyros	Greece	Achaia	Purple, yellow and white breccia (marmor scyrium, settebassi or breccia di sciro), exported inter-regionally in the Roman period	Bruno 2002c
Cape Oros	38.876368	24.442813	Western Skyros	Greece	Achaia	Purple, yellow and white breccia (marmor scyrium, settebassi or breccia di sciro), exported inter-regionally in the Roman period	Bruno 2002c
Cape Phanari	40.776328	24.728715	North-east Thasos	Greece	Macedonia	White calcitic marble, used locally and exported throughout antiquity	Bruno et al. 2002
Cape Tainaro	36.386111	22.483056	On the Mani Peninsula	Greece	Achaia	Dark-grey, black marble (nero antico); used locally and possibly exported in Roman period and earlier	Bruno and Pallante 2002; Lazzarini2004; Lazzarini 2007
Cape Vathy	40.743848	24.768334	North-east Thasos	Greece	Macedonia	Medium to coarse grained white dolomitic marble (marmor thasium or Thasos-2); used in Roman period and earlier; widely exported, particularly in the 3rd century and later	Herrmann 1990; Bruno et al. 2002
Capo Testa	41.246111	9.145556	The most northerly point of Sardinia	Italy	Sardinia etCorsica	Medium-grained granite (granito della Sardegna) with shades of pink, light green and cream-white; used locally and exported regionally in the Roman Imperial period	Mielsch 1985: 69; Wilson 1988; Gnoli1988: 154; Poggi and Lazzarini 2005
Carija	38.939436	-6.368221	Near Mérida	Spain	Lusitania	White marble; used locally in theRoman Imperial period	Dworakowska 1983: 15: Canto 1977-1978: 179; Pizzo 2010
